date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:27	142133/142133	---MCZ	200	added ('OK')	text/html	etag:cacheable:8059a75d2476388bf34dcee7e3857e84	https://iloveskininc.us/blogs/news/i-customized-a-serum-for-my-skin-and-wow-it-s-life-changing	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/i-customized-a-serum-for-my-skin-and-wow-it-s-life-changing.html	(from )
15:52:28	476/476	---MCZ	200	added ('OK')	text/plain	etag:cacheable:e1fa55e659e03237a55c14433d1e360b	https://iloveskininc.us/robots.txt		(from )
15:52:28	117965/117965	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:4e817892e5c224752f72e891db5e7890	https://iloveskininc.us/blogs/news/POST	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/POST	(from https://iloveskininc.us/blogs/news/i-customized-a-serum-for-my-skin-and-wow-it-s-life-changing)
15:52:30	140843/140843	---MCZ	200	added ('OK')	text/html	etag:cacheable:64a00bb9529d1c0bc6e1c0a1f8e89ee2	https://iloveskininc.us/blogs/news/i-used-this-device-for-a-week-and-my-maskne-healed-so-much-faster	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/i-used-this-device-for-a-week-and-my-maskne-healed-so-much-faster.html	(from https://iloveskininc.us/blogs/news/i-customized-a-serum-for-my-skin-and-wow-it-s-life-changing)
15:52:31	133289/133289	---MCZ	200	added ('OK')	text/html	etag:cacheable:80f5099492cbb19bda26c922779ad08c	https://iloveskininc.us/blogs/news/breaking-up-with-blemishes	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/breaking-up-with-blemishes.html	(from https://iloveskininc.us/blogs/news/i-customized-a-serum-for-my-skin-and-wow-it-s-life-changing)
15:52:32	142793/142793	---MCZ	200	added ('OK')	text/html	etag:cacheable:ab62c2df58148817eb830c7f99c9bd61	https://iloveskininc.us/blogs/news/blue-light-radiation-and-how-it-affects-your-skin	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/blue-light-radiation-and-how-it-affects-your-skin.html	(from https://iloveskininc.us/blogs/news/i-used-this-device-for-a-week-and-my-maskne-healed-so-much-faster)
15:52:33	136137/136137	---MCZ	200	added ('OK')	text/html	etag:cacheable:65cc4ea7b62ade92bd95e6d2a5e8b631	https://iloveskininc.us/blogs/news/dare-to-bare-with-barbara-koh	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/dare-to-bare-with-barbara-koh.html	(from https://iloveskininc.us/blogs/news/breaking-up-with-blemishes)
15:52:34	135404/135404	---MCZ	200	added ('OK')	text/html	etag:cacheable:8754a95252f42c057951a452f266530e	https://iloveskininc.us/blogs/news/want-to-supercharge-your-skincare-regime	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/want-to-supercharge-your-skincare-regime.html	(from https://iloveskininc.us/blogs/news/blue-light-radiation-and-how-it-affects-your-skin)
15:52:35	134909/134909	---MCZ	200	added ('OK')	text/html	etag:cacheable:e0bff59bc86a9a487d3169387d913b8b	https://iloveskininc.us/blogs/news/how-to-get-rid-of-pesky-eye-bags-and-dark-circles	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/how-to-get-rid-of-pesky-eye-bags-and-dark-circles.html	(from https://iloveskininc.us/blogs/news/dare-to-bare-with-barbara-koh)
15:52:36	142875/142875	---MCZ	200	added ('OK')	text/html	etag:cacheable:1ee99583734b3db1684b7780724815fb	https://iloveskininc.us/blogs/news/what-you-need-to-know-about-uv-radiation	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/what-you-need-to-know-about-uv-radiation.html	(from https://iloveskininc.us/blogs/news/want-to-supercharge-your-skincare-regime)
15:52:37	145489/145489	---MCZ	200	added ('OK')	text/html	etag:cacheable:f073656a635d6eb364c2dfe6a54c3e03	https://iloveskininc.us/blogs/news/all-about-skin-hydration	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/all-about-skin-hydration.html	(from https://iloveskininc.us/blogs/news/how-to-get-rid-of-pesky-eye-bags-and-dark-circles)
15:52:38	132607/132607	---MCZ	200	added ('OK')	text/html	etag:cacheable:49daba3260c69e4c7b3f2b2ad42c51b5	https://iloveskininc.us/blogs/news/dealing-with-dark-spots	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/dealing-with-dark-spots.html	(from https://iloveskininc.us/blogs/news/what-you-need-to-know-about-uv-radiation)
15:52:39	117109/117109	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:7680ad36c56918fca274aee5595437aa	https://iloveskininc.us/blogs/news/www.iloveskininc.com	/Users/shawn/websites/skinincrip1/iloveskininc.us/blogs/news/www.iloveskininc.com	(from https://iloveskininc.us/blogs/news/what-you-need-to-know-about-uv-radiation)
